Device: Apple iPhone11,8; eSense app version: 4.9.0; ios version: 14.0;
DESCRIPCIÓN
NOMBRE DE LA GRABACIÓN;ro-07012021-hr;;;;;;
eSense Pulse:;0000387;;;;;;
FECHA (HH:MM:SS);07.01.21 19:44:36;;;;;;
TIEMPO (HH:MM:SS);00:15:56;;;;;;
MÁXIMO;105.6 HR;;;;;;
MÍNIMO;57.5 HR;;;;;;
DIFERENCIA MIN/MAX;48.1 HR;;;;;;
MEDIA DE LA SESIÓN;83.4 HR;;;;;;
;;;;;;;
SDNN;57.190 ms;;;;;;
RMSSD;28.929 ms;;;;;;
NN50;96;;;;;;
PNN50;7.289 %;;;;;;
ÍNDICE DE ESTRÉS;48.980;;;;;;
RR PROMEDIO;723.9 ms;;;;;;
HR PROMEDIO;82.9 HR;;;;;;
VALORES DE HR CORREGIDOS;0;;;;;;
VALORES DE HR CORREGIDOS EN%;0.0 %;;;;;;
CORAZONES ROJOS;54;;;;;;
CORAZONES RARANJAS;48;;;;;;
CORAZONES AMAARILLOS;53;;;;;;
CORAZONES VERDES;36;;;;;;
;;;;;;;
ESTADÍSTICAS;;;;;;;
SEGUNDO;RITMO CARDIACO;RR;AMPLITUD HRV;UNIFORMIDAD;MARCAS DE TIEMPO;MARCADOR;
135.523;84.7;708;10.46;86.96;19:46:57:019;;
136.211;87.2;688;10.00;88.43;19:46:57:555;;
136.891;88.2;680;9.63;89.91;19:46:58:111;;
137.549;91.2;658;9.19;91.47;19:46:59:177;;
138.185;94.3;636;8.69;93.03;19:46:59:716;;
138.823;94.0;638;8.16;94.59;19:47:00:257;;
139.442;96.9;619;7.47;96.68;19:47:00:797;;
140.074;94.9;632;6.91;98.50;19:47:01:336;;
140.750;88.8;676;6.25;99.15;19:47:02:420;;
141.468;83.6;718;6.01;98.40;19:47:02:956;;
142.150;88.0;682;5.96;98.25;19:47:03:497;;
142.870;83.3;720;6.15;98.77;19:47:04:036;;
143.564;86.5;694;6.71;99.69;19:47:05:117;;
144.325;78.8;761;7.51;97.65;19:47:05:658;;
145.096;77.8;771;8.47;95.62;19:47:06:197;;
145.871;77.4;775;9.19;94.10;19:47:07:280;;
146.624;79.7;753;10.19;92.07;19:47:07:817;;
147.294;89.6;670;10.99;90.63;19:47:08:357;;
147.986;86.7;692;11.76;89.47;19:47:09:443;;
148.645;91.0;659;12.72;88.34;19:47:09:980;;
149.297;92.0;652;13.40;87.80;19:47:10:523;;
149.923;95.8;626;14.04;87.53;19:47:11:068;;
150.537;97.7;614;14.57;87.50;19:47:11:600;;
151.121;102.7;584;15.08;87.50;19:47:12:686;;
151.697;104.2;576;15.60;87.50;19:47:13:216;;
152.272;104.3;575;15.94;87.50;19:47:13:756;;
152.840;105.6;568;16.45;87.50;19:47:14:297;;
153.438;100.3;598;16.91;88.29;19:47:14:839;;
154.105;90.0;667;17.29;90.37;19:47:15:380;;
154.873;78.1;768;17.58;92.28;19:47:16:459;;
155.645;77.7;772;17.95;94.99;19:47:16:995;;
156.296;92.2;651;18.38;97.65;19:47:17:536;;
157.013;83.7;717;19.05;97.96;19:47:18:622;;
157.738;82.8;725;20.01;90.75;19:47:19:178;;
158.473;81.6;735;20.57;84.62;19:47:19:698;;
159.150;88.6;677;20.89;80.43;19:47:20:237;;
159.801;92.2;651;20.90;78.48;19:47:21:317;;
160.454;91.9;653;20.22;79.86;19:47:21:856;;
161.141;87.3;687;18.50;86.34;19:47:22:397;;
161.917;77.3;776;15.57;97.09;19:47:23:480;;
162.729;73.9;812;11.96;73.83;19:47:24:016;;
163.479;80.0;750;9.80;63.02;19:47:25:110;;
164.235;79.4;756;9.15;64.46;19:47:25:636;;
164.973;81.3;738;10.94;77.84;19:47:26:180;;
165.684;84.4;711;12.55;83.99;19:47:27:263;;
166.359;88.9;675;13.88;85.71;19:47:27:795;;
