ESTADÍSTICAS;;;;;;;;
SEGUNDO;RITMO CARDIACO;RR;AMPLITUD HRV;UNIFORMIDAD;LF + HF;MARCAS DE TIEMPO;MARCADOR;
224.064;77.2;777;14.99;57.44;1.7574;19:00:17:308;;
224.908;71.1;844;14.83;44.89;N.a.;19:00:17:857;;
225.776;69.1;868;14.68;34.83;N.a.;19:00:18:961;;
226.607;72.2;831;14.51;24.55;N.a.;19:00:19:493;;
227.405;75.2;798;14.29;13.23;1.6600;19:00:20:587;;
228.221;73.5;816;14.11;6.28;1.5533;19:00:21:141;;
229.008;76.2;787;13.80;0.00;N.a.;19:00:22:233;;
229.720;84.3;712;13.55;0.00;N.a.;19:00:22:777;;
230.387;90.0;667;13.52;0.00;N.a.;19:00:23:328;;
231.043;91.5;656;13.73;0.00;1.5700;19:00:24:447;;
231.713;89.6;670;14.31;0.00;1.5999;19:00:24:973;;
232.463;80.0;750;15.02;0.00;N.a.;19:00:25:515;;
233.313;70.6;850;15.89;19.15;N.a.;19:00:26:610;;
234.213;66.7;900;16.93;43.54;N.a.;19:00:27:163;;
235.120;66.2;907;17.82;61.54;1.5500;19:00:28:273;;
236.006;67.7;886;19.06;84.32;1.5016;19:00:28:804;;
236.867;69.7;861;20.20;96.55;N.a.;19:00:29:914;;
237.693;72.6;826;20.96;85.24;N.a.;19:00:30:993;;
238.461;78.1;768;21.82;74.22;N.a.;19:00:31:546;;
239.189;82.4;728;22.33;69.00;1.5400;19:00:32:090;;
239.925;81.5;736;22.71;66.39;1.5723;19:00:32:636;;
240.661;81.5;736;23.07;66.10;N.a.;19:00:33:188;;
241.355;86.5;694;23.24;66.42;N.a.;19:00:34:280;;
242.013;91.2;658;23.36;67.85;N.a.;19:00:34:821;;
242.673;90.9;660;23.69;73.47;1.5000;19:00:35:372;;
243.341;89.8;668;23.82;76.21;1.4322;19:00:35:923;;
244.022;88.1;681;23.92;80.35;N.a.;19:00:37:016;;
244.753;82.1;731;23.96;85.19;N.a.;19:00:37:559;;
245.542;76.0;789;23.94;90.81;N.a.;19:00:38:122;;
246.406;69.4;864;23.87;96.51;1.4500;19:00:39:758;;
247.226;73.2;820;23.75;98.00;1.4772;19:00:39:782;;
248.002;77.3;776;23.47;90.72;N.a.;19:00:40:845;;
248.780;77.1;778;22.88;82.68;N.a.;19:00:41:399;;
249.550;77.9;770;21.82;74.71;N.a.;19:00:41:944;;
250.334;76.5;784;20.62;71.69;1.4700;19:00:43:045;;
251.092;79.2;758;19.00;72.22;1.4791;19:00:43:590;;
251.898;74.4;806;16.63;77.95;N.a.;19:00:44:676;;
252.725;72.6;827;15.21;83.68;N.a.;19:00:45:225;;
253.552;72.6;827;13.35;93.80;N.a.;19:00:46:335;;
254.357;74.5;805;11.08;92.50;1.4800;19:00:46:882;;
255.181;72.8;824;8.85;79.25;1.4947;19:00:47:962;;
256.005;72.8;824;7.57;73.33;N.a.;19:00:48:511;;
256.808;74.7;803;6.60;70.41;N.a.;19:00:49:606;;
257.566;79.2;758;6.07;71.13;N.a.;19:00:50:162;;
258.373;74.3;807;5.82;73.65;1.4800;19:00:50:705;;
259.199;72.6;826;5.66;75.53;1.4618;19:00:51:796;;
260.030;72.2;831;5.49;78.04;N.a.;19:00:52:341;;
260.864;71.9;834;5.40;80.50;N.a.;19:00:52:892;;
261.691;72.6;827;5.38;82.03;N.a.;19:00:53:988;;
262.457;78.3;766;5.44;83.07;1.6300;19:00:54:559;;
263.223;78.3;766;5.73;85.67;1.7975;19:00:55:627;;
263.970;80.3;747;6.12;87.91;N.a.;19:00:56:173;;
264.707;81.4;737;6.79;91.11;N.a.;19:00:56:721;;
265.411;85.2;704;7.44;94.27;N.a.;19:00:57:853;;
266.173;78.7;762;8.10;97.47;1.7300;19:00:58:363;;
266.994;73.1;821;8.75;99.31;1.6633;19:00:59:484;;
267.864;69.0;870;9.48;96.10;N.a.;19:01:00:006;;
268.749;67.8;885;10.29;92.88;N.a.;19:01:01:124;;
269.623;68.6;874;11.13;89.92;N.a.;19:01:01:655;;
270.482;69.8;859;11.93;87.64;1.8800;19:01:02:748;;
271.332;70.6;850;12.41;86.54;2.0945;19:01:03:308;;
272.131;75.1;799;12.72;85.64;N.a.;19:01:04:402;;
272.913;76.7;782;13.05;84.41;N.a.;19:01:04:940;;
273.686;77.6;773;13.08;83.88;N.a.;19:01:06:032;;
274.456;77.9;770;12.97;83.17;1.8900;19:01:06:576;;
275.228;77.7;772;12.81;82.47;1.6919;19:01:07:128;;
276.090;69.6;862;12.69;81.76;N.a.;19:01:08:221;;
276.972;68.0;882;12.57;80.85;N.a.;19:01:09:316;;
277.896;64.9;924;12.45;80.13;N.a.;19:01:09:861;;
278.788;67.3;892;12.31;79.40;1.6500;19:01:10:411;;
279.631;71.2;843;12.12;78.68;1.6151;19:01:11:508;;
280.488;70.0;857;11.89;77.97;N.a.;19:01:12:601;;
281.347;69.8;859;11.70;77.39;N.a.;19:01:13:145;;
282.216;69.0;869;11.60;76.93;N.a.;19:01:14:244;;
283.044;72.5;828;11.60;76.86;1.5200;19:01:14:788;;
283.866;73.0;822;11.52;76.67;1.4234;19:01:15:884;;
284.690;72.8;824;11.52;0;N.a.;19:01:16:439;;
285.509;73.3;819;11.52;0;N.a.;19:01:17:543;;
286.302;75.7;793;11.52;0;N.a.;19:01:18:073;;
287.165;69.5;863;11.52;0;1.4400;19:01:19:172;;
287.972;74.3;807;11.52;0;1.4428;19:01:19:721;;
288.728;79.4;756;11.52;0;N.a.;19:01:20:810;;
289.468;81.1;740;11.52;0;N.a.;19:01:21:357;;
