Device: samsung SM-G991B; eSense app version: 4.9.0; android version: 11;
DESCRIPCIÓN
NOMBRE DE LA GRABACIÓN;mati-25-04-2021;;;;;;
eSense Pulse:;0000387;;;;;;
FECHA (HH:MM:SS);25.04.21 11:52:23;;;;;;
TIEMPO (HH:MM:SS);00:12:36;;;;;;
MÁXIMO;90.8 HR;;;;;;
MÍNIMO;62.2 HR;;;;;;
DIFERENCIA MIN/MAX;28.6 HR;;;;;;
MEDIA DE LA SESIÓN;74.05 HR;;;;;;
;;;;;;;
SDNN;58.443 ms;;;;;;
RMSSD;28.205 ms;;;;;;
NN50;77;;;;;;
PNN50;8.324 %;;;;;;
ÍNDICE DE ESTRÉS;66.651;;;;;;
RR PROMEDIO;814.5 ms;;;;;;
HR PROMEDIO;73.7 HR;;;;;;
VALORES DE HR CORREGIDOS;0;;;;;;
VALORES DE HR CORREGIDOS EN%;0.0 %;;;;;;
CORAZONES ROJOS;58;;;;;;
CORAZONES RARANJAS;24;;;;;;
CORAZONES AMAARILLOS;45;;;;;;
CORAZONES VERDES;24;;;;;;
;;;;;;;
ESTADÍSTICAS;;;;;;;
SEGUNDO;RITMO CARDIACO;RR;AMPLITUD HRV;UNIFORMIDAD;MARCAS DE TIEMPO;MARCADOR;
212.284;79.3;757;4.45;75.86;11:56:01:950;;
213.040;79.4;756;4.99;94.36;11:56:02:494;;
213.791;79.9;751;5.73;80.09;11:56:03:042;;
214.547;79.4;756;6.39;56.25;11:56:04:143;;
215.334;76.2;787;7.19;22.16;11:56:04:684;;
216.144;74.1;810;7.52;4.57;11:56:05:233;;
216.982;71.6;838;7.89;0.00;11:56:06:326;;
217.817;71.9;835;8.24;0.00;11:56:06:880;;
218.607;75.9;790;8.42;0.00;11:56:07:979;;
219.416;74.2;809;8.53;0.00;11:56:08:528;;
220.217;74.9;801;8.49;0.00;11:56:10:163;;
221.001;76.5;784;8.42;0.00;11:56:10:181;;
221.770;78.0;769;8.35;0.00;11:56:11:257;;
222.531;78.8;761;8.24;0.00;11:56:11:801;;
223.294;78.6;763;8.12;0.00;11:56:12:350;;
224.039;80.5;745;8.06;0.00;11:56:13:451;;
224.812;77.6;773;8.05;0.00;11:56:13:996;;
225.644;72.1;832;8.07;0.00;11:56:15:082;;
226.519;68.6;875;8.15;0.00;11:56:16:180;;
227.357;71.6;838;8.27;8.04;11:56:16:728;;
228.232;68.6;875;8.45;18.37;11:56:17:826;;
229.109;68.4;877;8.68;28.70;11:56:18:372;;
229.959;70.6;850;8.94;38.72;11:56:19:478;;
230.792;72.0;833;9.16;46.01;11:56:20:017;;
231.619;72.6;827;9.38;53.75;11:56:21:109;;
232.425;74.4;806;9.53;59.49;11:56:21:654;;
233.221;75.4;796;9.64;63.97;11:56:22:750;;
234.034;73.8;813;9.71;67.19;11:56:23:849;;
234.814;76.9;780;9.74;69.15;11:56:24:397;;
235.609;75.5;795;9.72;70.81;11:56:24:945;;
236.428;73.3;819;9.61;73.09;11:56:26:040;;
237.272;71.1;844;9.49;74.92;11:56:26:589;;
238.102;72.3;830;9.31;76.75;11:56:27:681;;
238.934;72.1;832;9.07;78.57;11:56:28:226;;
239.801;69.2;867;8.79;80.40;11:56:29:325;;
240.631;72.3;830;8.21;83.54;11:56:29:878;;
241.446;73.6;815;7.72;86.06;11:56:30:971;;
242.280;71.9;834;7.19;88.65;11:56:31:526;;
243.108;72.5;828;6.62;91.27;11:56:32:607;;
243.921;73.8;813;6.01;93.95;11:56:33:152;;
244.740;73.3;819;5.22;97.45;11:56:34:250;;
245.575;71.9;835;4.39;98.04;11:56:34:798;;
246.365;75.9;790;3.66;90.70;11:56:35:889;;
247.139;77.5;774;3.17;80.44;11:56:36:440;;
247.922;76.6;783;3.09;69.51;11:56:37:531;;
248.691;78.0;769;3.61;60.71;11:56:38:084;;
249.470;77.0;779;4.42;52.95;11:56:39:175;;
250.291;73.1;821;5.21;48.05;11:56:39:727;;
251.088;75.3;797;6.13;46.81;11:56:40:827;;
251.908;73.2;820;7.87;46.81;11:56:41:362;;
252.764;70.1;856;8.75;46.81;11:56:41:920;;
253.655;67.3;891;9.28;46.81;11:56:43:014;;
254.530;68.6;875;9.82;50.47;11:56:44:100;;
255.389;69.8;859;9.91;61.11;11:56:45:194;;
256.217;72.5;828;9.98;70.27;11:56:45:742;;
257.059;71.3;842;10.07;81.08;11:56:46:296;;
257.888;72.4;829;10.19;95.02;11:56:47:941;;
258.699;74.0;811;10.31;89.66;11:56:47:966;;
259.463;78.5;764;10.44;73.51;11:56:49:037;;
260.216;79.7;753;10.55;60.06;11:56:49:574;;
260.996;76.9;780;10.64;48.76;11:56:51:224;;
261.828;72.1;832;10.72;40.67;11:56:51:242;;
262.719;67.3;891;10.81;29.92;11:56:52:319;;
263.606;67.6;887;10.92;18.82;11:56:52:870;;
264.490;67.9;884;11.03;7.06;11:56:53:961;;
265.300;74.1;810;11.11;0.00;11:56:54:507;;
266.121;73.1;821;11.23;0.00;11:56:55:601;;
266.932;74.0;811;11.32;0.00;11:56:56:698;;
267.728;75.4;796;11.40;0.00;11:56:57:243;;
268.492;78.5;764;11.50;0.00;11:56:57:791;;
269.245;79.7;753;11.63;0.00;11:56:58:891;;
269.987;80.9;742;11.73;0.00;11:56:59:440;;
270.734;80.3;747;11.81;0.00;11:56:59:986;;
271.492;79.2;758;11.87;0.00;11:57:01:080;;
272.230;81.3;738;11.91;0.00;11:57:02:172;;
272.983;79.7;753;11.94;0.00;11:57:02:730;;
273.759;77.3;776;11.95;0.00;11:57:03:274;;
274.595;71.8;836;11.93;5.77;11:57:04:363;;
275.437;71.3;842;11.90;12.73;11:57:04:911;;
276.302;69.4;865;11.84;22.01;11:57:05:457;;
277.113;74.0;811;11.75;33.87;11:57:06:557;;
277.938;72.7;825;11.67;49.81;11:57:07:098;;
278.764;72.6;826;11.63;61.15;11:57:08:196;;
279.531;78.2;767;11.58;71.44;11:57:08:742;;
280.274;80.8;743;11.54;80.64;11:57:09:841;;
281.006;82.0;732;11.52;88.74;11:57:10:382;;
281.733;82.5;727;11.56;95.64;11:57:10:934;;
282.449;83.8;716;11.63;99.34;11:57:12:027;;
283.192;80.8;743;11.73;96.89;11:57:12:587;;
283.943;79.9;751;11.87;94.48;11:57:13:122;;
284.714;77.8;771;12.04;92.07;11:57:14:221;;
285.510;75.4;796;12.25;89.01;11:57:14:769;;
286.307;75.3;797;12.26;86.42;11:57:15:862;;
287.134;72.6;827;11.96;84.38;11:57:16:410;;
287.982;70.8;848;11.50;83.42;11:57:17:503;;
288.827;71.0;845;10.86;83.04;11:57:18:595;;
289.673;70.9;846;10.03;83.27;11:57:19:144;;
290.490;73.4;817;8.63;84.05;11:57:20:241;;
291.302;73.9;812;7.03;83.58;11:57:20:789;;
292.132;72.3;830;5.10;80.61;11:57:21:336;;
292.974;71.3;842;3.55;73.83;11:57:22:429;;
293.827;70.3;853;3.24;61.62;11:57:22:980;;
294.679;70.4;852;2.53;58.62;11:57:24:081;;
295.485;74.4;806;1.71;62.97;11:57:25:169;;
296.291;74.4;806;1.34;65.22;11:57:25:718;;
297.120;72.4;829;1.33;65.22;11:57:26:812;;
297.977;70.0;857;1.70;68.74;11:57:27:359;;
298.800;72.9;823;2.92;80.09;11:57:28:454;;
299.645;71.0;845;6.07;90.68;11:57:28:998;;
300.494;70.7;849;7.68;75.82;11:57:30:095;;
301.329;71.9;835;9.41;59.71;11:57:31:742;;
302.127;75.2;798;10.89;45.51;11:57:31:756;;
302.867;81.1;740;11.55;38.41;11:57:32:285;;
303.587;83.3;720;11.85;33.67;11:57:32:834;;
304.310;83.0;723;11.49;33.33;11:57:33:927;;
305.056;80.4;746;11.16;33.33;11:57:34:480;;
305.842;76.3;786;10.96;33.33;11:57:35:581;;
306.663;73.1;821;10.90;32.68;11:57:36:115;;
307.459;75.4;796;10.90;31.60;11:57:37:770;;
308.294;71.9;835;10.92;30.45;11:57:37:785;;
309.113;73.3;819;10.91;28.66;11:57:38:856;;
309.916;74.7;803;10.96;26.58;11:57:39:401;;
310.658;80.9;742;11.06;24.27;11:57:39:948;;
311.408;80.0;750;11.12;22.59;11:57:41:048;;
312.143;81.6;735;11.14;20.52;11:57:41:593;;
312.858;83.9;715;11.10;18.52;11:57:43:234;;
313.565;84.9;707;10.96;16.39;11:57:43:255;;
314.277;84.3;712;10.61;16.19;11:57:43:781;;
315.017;81.1;740;10.16;19.90;11:57:44:335;;
315.784;78.2;767;9.50;27.72;11:57:45:427;;
316.577;75.7;793;8.71;39.05;11:57:45:974;;
317.346;78.0;769;7.89;52.35;11:57:46:529;;
318.131;76.4;785;6.99;72.17;11:57:47:616;;
318.909;77.1;778;6.31;95.87;11:57:48:161;;
319.652;80.8;743;5.96;89.07;11:57:49:258;;
320.391;81.2;739;5.48;78.27;11:57:49:805;;
321.129;81.3;738;5.05;74.08;11:57:50:353;;
321.881;79.8;752;4.57;74.38;11:57:51:450;;
322.670;76.0;789;3.95;74.60;11:57:51:996;;
323.487;73.4;817;3.24;74.80;11:57:53:087;;
324.329;71.3;842;2.66;74.93;11:57:54:186;;
325.174;71.0;845;2.40;75.00;11:57:54:729;;
