Device: Apple iPhone11,8; eSense app version: 4.5.91; ios version: 13.3.1;
DESCRIPCIÓN;VALOR;RR;Amplitud HRV
NOMBRE DE LA GRABACIÓN;F3;;;;;;;
eSense Pulse:;0000387;;;;;;;
FECHA (HH:MM:SS);15.06.20 15:58:40;;;;;;;
TIEMPO (HH:MM:SS);00:28:48;;;;;;;
MÁXIMO;111.7 HR;;;;;;;
MÍNIMO;64.3 HR;;;;;;;
DIFERENCIA MIN/MAX;47.4 HR;;;;;;;
MEDIA DE LA SESIÓN;82.66 HR;;;;;;;
;;;;;;;;
SDNN;54.070 ms;;;;;;;
RMSSD;37.568 ms;;;;;;;
NN50;338;;;;;;;
PNN50;13.984 %;;;;;;;
ÍNDICE DE ESTRÉS;36.267;;;;;;;
RR PROMEDIO;730.8 ms;;;;;;;
HR PROMEDIO;82.1 HR;;;;;;;
VALORES DE HR CORREGIDOS;1;;;;;;;
VALORES DE HR CORREGIDOS EN%;0.0 %;;;;;;;
HF PROMEDIO;217.9813 ms2;;;;;;;
LF PROMEDIO;566.4074 ms2;;;;;;;
RELACIÓN LF/HF;2.5984;;;;;;;
CORAZONES ROJOS;61;;;;;;;
CORAZONES RARANJAS;64;;;;;;;
CORAZONES AMAARILLOS;128;;;;;;;
CORAZONES VERDES;92;;;;;;;
;;;;;;;;
88.696;93.2;644;10.65;83.14;N.a.;16:00:12:547;;
89.343;92.7;647;11.18;84.94;N.a.;16:00:12:574;;
90.024;88.1;681;11.49;88.53;N.a.;16:00:13:086;;
90.745;83.2;721;11.28;90.11;N.a.;16:00:13:092;;
91.492;80.3;747;11.11;91.15;N.a.;16:00:14:185;;
92.220;82.4;728;11.05;91.56;N.a.;16:00:14:735;;
92.943;83.0;723;11.20;91.67;N.a.;16:00:15:288;;
93.676;81.9;733;11.50;91.67;N.a.;16:00:16:377;;
94.448;77.7;772;12.14;91.67;N.a.;16:00:17:480;;
95.233;76.4;785;12.55;90.66;N.a.;16:00:17:492;;
96.024;75.9;791;12.66;88.21;N.a.;16:00:18:574;;
96.806;76.7;782;12.69;86.11;N.a.;16:00:19:109;;
97.537;82.1;731;12.87;82.22;N.a.;16:00:19:656;;
98.223;87.5;686;12.94;77.29;N.a.;16:00:20:755;;
98.920;86.1;697;12.88;73.14;N.a.;16:00:21:301;;
99.647;82.5;727;12.68;67.04;N.a.;16:00:21:851;;
100.413;78.3;766;12.49;61.25;N.a.;16:00:22:947;;
101.169;79.4;756;12.36;57.10;N.a.;16:00:23:489;;
101.925;79.4;756;12.24;53.00;N.a.;16:00:24:053;;
102.681;79.4;756;12.09;48.82;1.0402;16:00:25:145;;
103.426;80.5;745;11.89;44.51;N.a.;16:00:25:690;;
