Device: samsung SM-G970U1; eSense app version: 4.5.91; android version: 10;
DESCRIPTION;VALUE
RECORDING NAME;F3-skin;;;;
DATE (HH:MM:SS);15.06.20 15:59:57;;;;
TIME (HH:MM:SS);00:27:29;;;;
MAXIMUM;11.39 µS;;;;
MINIMUM;2.39 µS;;;;
DIFFERENCE MIN/MAX;9 µS;;;;
AVERAGE OF SESSION;5.97 µS;;;;
TIME INCREASE (HH:MM:SS);00:07:36;;;;
TIME STEADY (HH:MM:SS);00:01:31;;;;
TIME DECREASE (HH:MM:SS);00:18:21;;;;
;;;;;
TOTAL SCR;108;;;;
% of SCR OF SESSION;28.9%;;;;
Red hands;6;;;;
Orange hands;72;;;;
Yellow hands;169;;;;
Green hands;83;;;;
0-5 SCR/MIN (HH:MM:SS);00:20:17;;;;
6-9 SCR/MIN (HH:MM:SS);00:06:54;;;;
10-15 SCR/MIN (HH:MM:SS);00:00:20;;;;
>16 SCR/MIN (HH:MM:SS);00:00:00;;;;
STARS;0;;;;
STARS WITH RIBBON;0;;;;
;;;;;
WHAT IS YOUR POSITION?;SITTING ON A CHAIR;;;;
ELECTRODE TYPE:;VELCRO ELECTRODES;;;;
61.4;4.17;16:00:59:163;1;11;
61.6;4.16;16:00:59:363;0;11;
61.8;4.14;16:00:59:563;0;11;
62.0;4.13;16:00:59:763;0;11;
62.2;4.13;16:00:59:963;0;11;
62.4;4.11;16:01:00:163;0;11;
62.6;4.09;16:01:00:363;0;11;
62.8;4.08;16:01:00:563;0;11;
63.0;4.06;16:01:00:763;0;11;
63.2;4.06;16:01:00:963;0;11;
63.4;4.05;16:01:01:163;0;11;
63.6;4.04;16:01:01:363;0;11;
63.8;4.03;16:01:01:563;0;11;
64.0;4.01;16:01:01:763;0;11;
64.2;4.00;16:01:01:963;0;11;
64.4;4.00;16:01:02:163;0;11;
64.6;4.00;16:01:02:363;0;11;
64.8;3.98;16:01:02:563;0;11;
65.0;3.96;16:01:02:763;0;11;
65.2;3.96;16:01:02:963;0;11;
65.4;3.95;16:01:03:163;0;11;
65.6;3.95;16:01:03:363;0;11;
65.8;3.95;16:01:03:563;0;11;
66.0;3.94;16:01:03:763;0;11;
66.2;3.95;16:01:03:963;0;11;
66.4;3.95;16:01:04:163;0;11;
66.6;3.95;16:01:04:363;0;11;
66.8;3.96;16:01:04:563;0;11;
67.0;3.97;16:01:04:763;0;11;
67.2;3.97;16:01:04:963;0;11;
67.4;3.97;16:01:05:163;0;11;
67.6;3.97;16:01:05:363;0;11;
67.8;3.97;16:01:05:563;0;11;
68.0;3.96;16:01:05:763;0;10;
68.2;3.96;16:01:05:963;0;10;
68.4;3.95;16:01:06:163;0;10;
68.6;3.95;16:01:06:363;0;10;
68.8;3.94;16:01:06:563;0;10;
69.0;3.93;16:01:06:763;0;10;
69.2;3.92;16:01:06:963;0;10;
69.4;3.91;16:01:07:163;0;10;
69.6;3.90;16:01:07:363;0;10;
69.8;3.88;16:01:07:563;0;10;
70.0;3.88;16:01:07:763;0;10;
70.2;3.88;16:01:07:963;0;10;
70.4;3.87;16:01:08:163;0;10;
70.6;3.85;16:01:08:363;0;10;
70.8;3.85;16:01:08:563;0;10;
71.0;3.86;16:01:08:763;0;9;
71.2;3.87;16:01:08:963;0;9;
71.4;3.90;16:01:09:163;0;9;
71.6;3.95;16:01:09:363;0;9;
71.8;4.00;16:01:09:563;0;9;
72.0;4.05;16:01:09:763;0;9;
72.2;4.07;16:01:09:963;0;9;
72.4;4.08;16:01:10:163;0;9;
72.6;4.11;16:01:10:363;0;9;
72.8;4.11;16:01:10:563;0;9;
73.0;4.11;16:01:10:763;0;9;
73.2;4.09;16:01:10:963;0;9;
73.4;4.09;16:01:11:163;0;9;
73.6;4.08;16:01:11:363;0;9;
73.8;4.06;16:01:11:563;0;9;
74.0;4.04;16:01:11:763;0;9;
74.2;4.01;16:01:11:963;0;9;
74.4;3.99;16:01:12:163;0;9;
74.6;3.98;16:01:12:363;0;9;
74.8;3.96;16:01:12:563;0;9;
75.0;3.95;16:01:12:763;0;9;
75.2;3.93;16:01:12:963;0;9;
75.4;3.91;16:01:13:163;0;9;
75.6;3.90;16:01:13:363;0;9;
75.8;3.89;16:01:13:563;0;9;
76.0;3.87;16:01:13:763;0;9;
76.2;3.85;16:01:13:963;0;9;
76.4;3.84;16:01:14:163;0;9;
76.6;3.83;16:01:14:363;0;9;
76.8;3.82;16:01:14:563;0;9;
77.0;3.81;16:01:14:763;0;9;
77.2;3.79;16:01:14:963;0;9;
77.4;3.79;16:01:15:163;0;9;
77.6;3.77;16:01:15:363;0;9;
77.8;3.76;16:01:15:563;0;9;
78.0;3.76;16:01:15:763;0;9;
78.2;3.75;16:01:15:963;0;9;
78.4;3.74;16:01:16:163;0;9;
78.6;3.73;16:01:16:363;0;9;
78.8;3.71;16:01:16:563;0;9;
79.0;3.71;16:01:16:763;0;9;
79.2;3.71;16:01:16:963;0;9;
79.4;3.71;16:01:17:163;0;9;
79.6;3.72;16:01:17:363;0;9;
79.8;3.73;16:01:17:563;0;9;
80.0;3.74;16:01:17:763;0;9;
80.2;3.74;16:01:17:963;0;9;
80.4;3.75;16:01:18:163;0;9;
80.6;3.75;16:01:18:363;0;9;
80.8;3.75;16:01:18:563;0;9;
81.0;3.75;16:01:18:763;0;9;
81.2;3.74;16:01:18:963;0;9;
81.4;3.74;16:01:19:163;0;9;
81.6;3.74;16:01:19:363;0;9;
81.8;3.73;16:01:19:563;0;9;
82.0;3.71;16:01:19:763;0;9;
82.2;3.70;16:01:19:963;0;9;
82.4;3.69;16:01:20:163;0;9;
82.6;3.69;16:01:20:363;0;9;
82.8;3.67;16:01:20:563;0;9;
83.0;3.67;16:01:20:763;0;9;
83.2;3.66;16:01:20:963;0;9;
83.4;3.65;16:01:21:163;0;9;
83.6;3.64;16:01:21:363;0;9;
83.8;3.63;16:01:21:563;0;9;
84.0;3.63;16:01:21:763;0;9;
84.2;3.62;16:01:21:963;0;9;
84.4;3.60;16:01:22:163;0;9;
84.6;3.60;16:01:22:363;0;9;
84.8;3.59;16:01:22:563;0;9;
85.0;3.58;16:01:22:763;0;9;
85.2;3.58;16:01:22:963;0;9;
85.4;3.56;16:01:23:163;0;9;
85.6;3.55;16:01:23:363;0;9;
85.8;3.55;16:01:23:563;0;9;
86.0;3.54;16:01:23:763;0;9;
86.2;3.54;16:01:23:963;0;9;
86.4;3.52;16:01:24:163;0;9;
86.6;3.51;16:01:24:363;0;9;
86.8;3.51;16:01:24:563;0;9;
87.0;3.51;16:01:24:763;0;9;
87.2;3.50;16:01:24:963;0;9;
87.4;3.49;16:01:25:163;0;8;
87.6;3.49;16:01:25:363;0;8;
87.8;3.48;16:01:25:563;0;8;
88.0;3.47;16:01:25:763;0;8;
88.2;3.46;16:01:25:963;0;8;
88.4;3.46;16:01:26:163;0;8;
88.6;3.46;16:01:26:363;0;8;
88.8;3.45;16:01:26:563;0;8;
89.0;3.44;16:01:26:763;0;8;
89.2;3.43;16:01:26:963;0;8;
89.4;3.43;16:01:27:163;0;8;
89.6;3.44;16:01:27:363;0;8;
89.8;3.46;16:01:27:563;0;8;
90.0;3.48;16:01:27:763;0;8;
90.2;3.50;16:01:27:963;0;8;
90.4;3.51;16:01:28:163;0;8;
90.6;3.52;16:01:28:363;0;8;
90.8;3.55;16:01:28:563;0;8;
91.0;3.57;16:01:28:763;0;8;
91.2;3.58;16:01:28:963;0;8;
91.4;3.58;16:01:29:163;0;8;
91.6;3.58;16:01:29:363;0;8;
91.8;3.58;16:01:29:563;0;8;
92.0;3.58;16:01:29:763;0;8;
92.2;3.58;16:01:29:963;0;8;
92.4;3.56;16:01:30:163;0;8;
92.6;3.56;16:01:30:363;0;8;
92.8;3.55;16:01:30:563;0;8;
93.0;3.54;16:01:30:763;0;8;
93.2;3.54;16:01:30:963;0;8;
93.4;3.52;16:01:31:163;0;8;
93.6;3.51;16:01:31:363;0;8;
93.8;3.51;16:01:31:563;0;8;
94.0;3.51;16:01:31:763;0;8;
94.2;3.50;16:01:31:963;0;8;
94.4;3.50;16:01:32:163;0;8;
94.6;3.49;16:01:32:363;0;8;
94.8;3.48;16:01:32:563;0;8;
95.0;3.47;16:01:32:763;0;8;
95.2;3.46;16:01:32:963;0;8;
95.4;3.46;16:01:33:163;0;7;
95.6;3.45;16:01:33:363;0;7;
95.8;3.45;16:01:33:563;0;7;
96.0;3.44;16:01:33:763;0;7;
96.2;3.44;16:01:33:963;0;7;
96.4;3.42;16:01:34:163;0;7;
96.6;3.42;16:01:34:363;0;6;
96.8;3.41;16:01:34:563;0;6;
97.0;3.41;16:01:34:763;0;6;
97.2;3.40;16:01:34:963;0;6;
97.4;3.40;16:01:35:163;0;6;
97.6;3.39;16:01:35:363;0;6;
97.8;3.38;16:01:35:563;0;6;
98.0;3.38;16:01:35:763;0;6;
98.2;3.37;16:01:35:963;0;5;
98.4;3.36;16:01:36:163;0;5;
98.6;3.35;16:01:36:363;0;5;
98.8;3.35;16:01:36:563;0;5;
99.0;3.34;16:01:36:763;0;5;
99.2;3.33;16:01:36:963;0;5;
99.4;3.33;16:01:37:163;0;5;
99.6;3.33;16:01:37:363;0;5;
99.8;3.31;16:01:37:563;0;5;
100.0;3.31;16:01:37:763;0;5;
100.2;3.30;16:01:37:963;0;5;
100.4;3.29;16:01:38:163;0;5;
100.6;3.29;16:01:38:363;0;5;
100.8;3.29;16:01:38:563;0;5;
101.0;3.29;16:01:38:763;0;5;
101.2;3.28;16:01:38:963;0;5;
101.4;3.28;16:01:39:163;0;5;
101.6;3.28;16:01:39:363;0;5;
101.8;3.29;16:01:39:563;0;5;
102.0;3.29;16:01:39:763;0;5;
102.2;3.29;16:01:39:963;0;5;
102.4;3.30;16:01:40:163;0;5;
102.6;3.31;16:01:40:363;0;5;
102.8;3.31;16:01:40:563;0;5;
103.0;3.31;16:01:40:763;0;5;
103.2;3.31;16:01:40:963;0;5;
103.4;3.31;16:01:41:163;0;5;
103.6;3.30;16:01:41:363;0;5;
103.8;3.30;16:01:41:563;0;5;
104.0;3.30;16:01:41:763;0;5;
104.2;3.29;16:01:41:963;0;5;
104.4;3.29;16:01:42:163;0;5;
104.6;3.29;16:01:42:363;0;5;
104.8;3.28;16:01:42:563;0;5;
105.0;3.28;16:01:42:763;0;5;
105.2;3.27;16:01:42:963;0;5;
105.4;3.26;16:01:43:163;0;5;
105.6;3.26;16:01:43:363;0;5;
105.8;3.25;16:01:43:563;0;5;
106.0;3.25;16:01:43:763;0;5;
106.2;3.24;16:01:43:963;0;5;
106.4;3.24;16:01:44:163;0;5;
106.6;3.24;16:01:44:363;0;5;
106.8;3.23;16:01:44:563;0;5;
107.0;3.23;16:01:44:763;0;5;
107.2;3.21;16:01:44:963;0;5;
107.4;3.21;16:01:45:163;0;5;
107.6;3.21;16:01:45:363;0;5;
107.8;3.21;16:01:45:563;0;5;
108.0;3.20;16:01:45:763;0;5;
108.2;3.19;16:01:45:963;0;5;
108.4;3.19;16:01:46:163;0;5;
108.6;3.19;16:01:46:363;0;5;
108.8;3.18;16:01:46:563;0;5;
109.0;3.17;16:01:46:763;0;5;
109.2;3.17;16:01:46:963;0;5;
109.4;3.16;16:01:47:163;0;5;
109.6;3.16;16:01:47:363;0;5;
