Device: samsung SM-G970U1; eSense app version: 4.9.0; android version: 10;
DESCRIPTION;VALUE
RECORDING NAME;ro-07012021-skin;;;;
DATE (HH:MM:SS);07.01.21 19:44:35;;;;
TIME (HH:MM:SS);00:15:55;;;;
MAXIMUM;5.23 µS;;;;
MINIMUM;0.38 µS;;;;
DIFFERENCE MIN/MAX;4.85 µS;;;;
AVERAGE OF SESSION;2.59 µS;;;;
TIME INCREASE (HH:MM:SS);00:03:20;;;;
TIME STEADY (HH:MM:SS);00:00:40;;;;
TIME DECREASE (HH:MM:SS);00:11:54;;;;
;;;;;
TOTAL SCR;44;;;;
% of SCR OF SESSION;19.8%;;;;
Red hands;0;;;;
Orange hands;7;;;;
Yellow hands;122;;;;
Green hands;62;;;;
0-5 SCR/MIN (HH:MM:SS);00:15:01;;;;
6-9 SCR/MIN (HH:MM:SS);00:00:57;;;;
10-15 SCR/MIN (HH:MM:SS);00:00:00;;;;
>16 SCR/MIN (HH:MM:SS);00:00:00;;;;
STARS;0;;;;
STARS WITH RIBBON;0;;;;
;;;;;
STATISTICS;;;;;
SECOND;MICROSIEMENS;TIMESTAMP;SCR;SCR/MIN;MARKER
39.2;0.98;19:45:14:725;0;0;
39.4;0.98;19:45:14:925;0;0;
39.6;0.98;19:45:15:125;0;0;
39.8;0.98;19:45:15:325;0;0;
40.0;0.97;19:45:15:525;0;0;
40.2;0.97;19:45:15:725;0;0;
40.4;0.97;19:45:15:925;0;0;
40.6;0.97;19:45:16:125;0;0;
40.8;0.97;19:45:16:325;0;0;
41.0;0.97;19:45:16:525;0;0;
41.2;0.97;19:45:16:725;0;0;
41.4;0.97;19:45:16:925;0;0;
41.6;0.97;19:45:17:125;0;0;
41.8;0.97;19:45:17:325;0;0;
42.0;0.97;19:45:17:525;0;0;
42.2;0.96;19:45:17:725;0;0;
42.4;0.96;19:45:17:925;0;0;
42.6;0.96;19:45:18:125;0;0;
42.8;0.96;19:45:18:325;0;0;
43.0;0.96;19:45:18:525;0;0;
43.2;0.96;19:45:18:725;0;0;
43.4;0.96;19:45:18:925;0;0;
43.6;0.96;19:45:19:125;0;0;
43.8;0.96;19:45:19:325;0;0;
44.0;0.96;19:45:19:525;0;0;
44.2;0.96;19:45:19:725;0;0;
44.4;0.96;19:45:19:925;0;0;
44.6;0.96;19:45:20:125;0;0;
44.8;0.96;19:45:20:325;0;0;
45.0;0.96;19:45:20:525;0;0;
45.2;0.96;19:45:20:725;0;0;
45.4;0.96;19:45:20:925;0;0;
45.6;0.96;19:45:21:125;0;0;
45.8;0.96;19:45:21:325;0;0;
46.0;0.96;19:45:21:525;0;0;
46.2;0.95;19:45:21:725;0;0;
46.4;0.95;19:45:21:925;0;0;
46.6;0.95;19:45:22:125;0;0;
46.8;0.95;19:45:22:325;0;0;
47.0;0.95;19:45:22:525;0;0;
47.2;0.95;19:45:22:725;0;0;
47.4;0.95;19:45:22:925;0;0;
47.6;0.95;19:45:23:125;0;0;
47.8;0.95;19:45:23:325;0;0;
48.0;0.95;19:45:23:525;0;0;
48.2;0.95;19:45:23:725;0;0;
48.4;0.95;19:45:23:925;0;0;
48.6;0.94;19:45:24:125;0;0;
48.8;0.94;19:45:24:325;0;0;
49.0;0.94;19:45:24:525;0;0;
49.2;0.94;19:45:24:725;0;0;
49.4;0.94;19:45:24:925;0;0;
49.6;0.94;19:45:25:125;0;0;
49.8;0.94;19:45:25:325;0;0;
50.0;0.94;19:45:25:525;0;0;
50.2;0.94;19:45:25:725;0;0;
50.4;0.94;19:45:25:925;0;0;
50.6;0.94;19:45:26:125;0;0;
50.8;0.94;19:45:26:325;0;0;
51.0;0.94;19:45:26:525;0;0;
