Device: samsung SM-G970U1; eSense app version: 4.9.0; android version: 10;
DESCRIPTION;VALUE
RECORDING NAME;Recording-05012021-205648;;;;
DATE (HH:MM:SS);05.01.21 20:56:48;;;;
TIME (HH:MM:SS);00:11:21;;;;
MAXIMUM;5.79 µS;;;;
MINIMUM;2.65 µS;;;;
DIFFERENCE MIN/MAX;3.14 µS;;;;
AVERAGE OF SESSION;3.85 µS;;;;
TIME INCREASE (HH:MM:SS);00:02:39;;;;
TIME STEADY (HH:MM:SS);00:00:50;;;;
TIME DECREASE (HH:MM:SS);00:07:50;;;;
;;;;;
TOTAL SCR;35;;;;
% of SCR OF SESSION;19.1%;;;;
Red hands;0;;;;
Orange hands;17;;;;
Yellow hands;101;;;;
Green hands;18;;;;
0-5 SCR/MIN (HH:MM:SS);00:09:51;;;;
6-9 SCR/MIN (HH:MM:SS);00:01:33;;;;
10-15 SCR/MIN (HH:MM:SS);00:00:00;;;;
>16 SCR/MIN (HH:MM:SS);00:00:00;;;;
STARS;1;;;;
STARS WITH RIBBON;0;;;;
;;;;;
STATISTICS;;;;;
SECOND;MICROSIEMENS;TIMESTAMP;SCR;SCR/MIN;MARKER
30.6;3.28;20:57:19:091;0;3;
30.8;3.28;20:57:19:291;0;3;
31.0;3.30;20:57:19:491;0;3;
31.2;3.37;20:57:19:691;0;3;
31.4;3.39;20:57:19:891;0;3;
31.6;3.41;20:57:20:091;0;3;
31.8;3.41;20:57:20:291;0;3;
32.0;3.41;20:57:20:491;0;3;
32.2;3.39;20:57:20:691;0;3;
32.4;3.35;20:57:20:891;0;3;
32.6;3.34;20:57:21:091;0;3;
32.8;3.34;20:57:21:291;0;3;
33.0;3.30;20:57:21:491;0;3;
33.2;3.28;20:57:21:691;0;3;
33.4;3.26;20:57:21:891;0;3;
33.6;3.24;20:57:22:091;0;3;
33.8;3.22;20:57:22:291;0;3;
34.0;3.22;20:57:22:491;0;3;
34.2;3.22;20:57:22:691;0;3;
34.4;3.21;20:57:22:891;0;3;
34.6;3.19;20:57:23:091;0;3;
34.8;3.18;20:57:23:291;0;3;
35.0;3.18;20:57:23:491;0;3;
35.2;3.18;20:57:23:691;0;3;
35.4;3.19;20:57:23:891;0;3;
35.6;3.19;20:57:24:091;0;3;
35.8;3.23;20:57:24:291;0;3;
36.0;3.25;20:57:24:491;0;3;
36.2;3.25;20:57:24:691;0;3;
36.4;3.24;20:57:24:891;0;3;
36.6;3.23;20:57:25:091;0;3;
36.8;3.20;20:57:25:291;0;3;
37.0;3.19;20:57:25:491;0;3;
37.2;3.16;20:57:25:691;0;3;
37.4;3.16;20:57:25:891;0;3;
37.6;3.14;20:57:26:091;0;3;
